product_name,category,normal_price,discount_price,reviews_count,rating,discount%,weighted_average
Lamberts Glucosamine Complete 120tabs,['Οστά - Αρθρώσεις'],41.28,27.66,14,5.0,0.33,8.600000000000001
Nutricia Fortimel Extra Vanilla 4x200ml,"['Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια']",12.12,11.27,54,4.9,0.07,24.540000000000003
My Elements Sports Ultra Whey Isolate Πρωτεΐνη 100% Ορού Γάλακτος 1000gr,['Πρωτεϊνη'],69.95,41.97,0,0.0,0.4,0.0
Lamberts Vitamin B-12 1000μg 60 tabs,"['Άγχος - Στρες', 'Ανοσοποιητικό', 'Κόπωση & Κούραση', 'Καρδιά - Φλέβες - Αγγεία', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια', 'Βιταμίνες Κατάλληλες για Vegan', 'Βιταμίνη Β12']",20.63,14.44,3,4.7,0.3,4.02
Uni-Pharma D3 Fix 2000iu + K2 45mg 60caps,"['Βιταμίνη D3', 'Βιταμίνη K', 'Οστά - Αρθρώσεις', 'Ανοσοποιητικό']",15.96,11.65,12,5.0,0.27,7.800000000000001
Power Health Floradix Kindervital 250ml,"['Ενίσχυση Ανοσοποιητικού για Παιδιά', 'Πολυβιταμίνες', 'Ανοσοποιητικό', 'Βιταμίνες για Παιδιά', 'Παιδικές Βιταμίνες - Συμπληρώματα Διατροφής']",31.91,20.42,4,4.8,0.36,4.48
Almora Plus Ηλεκτρολύτες για την Ενυδάτωση του Οργανισμού 12 Sachets,"['Ναυτία-Εμετός', 'Κάλιο', 'Μαραθώνιος', 'Παιδικές Βιταμίνες - Συμπληρώματα Διατροφής', 'Ηλεκτρολύτες για Αθλητές', 'Ηλεκτρολύτες']",6.89,4.83,10,5.0,0.3,7.0
Power Health Sport Series Whey Protein Chocolate Ρόφημα σε Σκόνη 100% Πρωτεΐνη Ορού Γάλακτος για Αθλητές Γεύση Σοκολάτα 1kg,"['Πρωτεϊνη', 'Μαραθώνιος', 'Βιταμίνες Κατάλληλες για Vegetarian']",62.91,40.89,0,0.0,0.35,0.0
Moller’s Ω3 Παιδικά Ζελεδάκια 36τεμάχια,"['Ενίσχυση Ανοσοποιητικού για Παιδιά', 'Back to School', 'Παιδικές Βιταμίνες - Συμπληρώματα Διατροφής', 'Ω-3 Λιπαρά Οξέα']",18.6,13.02,40,4.9,0.3,18.94
Solgar Magnesium + Β6 100 tabs,"['Μαγνήσιο', 'Εμμηνόπαυση', 'Ημικρανίες', 'Βιταμίνες Κατάλληλες για Vegan']",18.95,12.89,13,4.8,0.32,8.08
Superfoods Ιπποφαές 50 Soft.caps,"['Ιπποφαές', 'Οστά - Αρθρώσεις', 'Τόνωση Οφθαλμών', 'Ενέργεια & Τόνωση', 'Μαλλιά - Νύχια - Δέρμα', 'Προϊόντα σε τιμή κόστους!', 'Βιταμίνες για Ενέργεια', 'Βιταμίνες για Μαλλιά', 'Βιταμίνες για Τριχόπτωση']",28.9,22.25,21,5.0,0.23,11.4
My Elements Sports Whey Protein Powder Φόρμουλα με Υψηλής Ισχύος Πρωτεϊνη 1000gr,"['Πρωτεϊνη', 'Μαραθώνιος', 'Βιταμίνες Κατάλληλες για Vegetarian']",51.96,32.21,5,5.0,0.38,5.0
Moller’s Μουρουνέλαιο Λεμόνι 250ml,"['Μνήμη - Εγκέφαλος', 'Τόνωση Οφθαλμών', 'Καρδιά - Φλέβες - Αγγεία', 'Χοληστερίνη - Τριγλυκερίδια', 'Ω-3 Λιπαρά Οξέα', 'Μουρουνέλαιο']",21.85,15.3,21,4.9,0.3,11.34
Altion Tonovit Multivitamin Ολοκληρωμένο Πολυβιταμινούχο Συμπλήρωμα Διατροφής 40caps,"['Πολυβιταμίνες σε Κάψουλες', 'Πολυβιταμίνες', 'Ανοσοποιητικό', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια']",21.76,13.49,4,4.8,0.38,4.48
Winmedica Sideral Forte 30caps,"['Βιταμίνες 50+', 'Βιταμίνη C', 'Σίδηρος', 'Μνήμη - Εγκέφαλος', 'Κόπωση & Κούραση', 'Αναιμία', 'Εγκυμοσύνη - Θηλασμός', 'Συμπληρώματα Διατροφής για την Γυναίκα', 'Βιταμίνες για Τριχόπτωση']",26.7,20.56,0,0.0,0.23,0.0
